timestamp,levelname,source,message
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.060060] ltc4266 0-002f: pse core: registered port 0 as port0 with priority 255
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.060087] ltc4266 0-002f: ltc4266_probe has registered port 0 on the LTC4266 as port0
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.060101] pse port0: Has been initialized
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.080762] ltc4266 0-002f: pse core: registered port 1 as port1 with priority 255
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.080788] ltc4266 0-002f: ltc4266_probe has registered port 1 on the LTC4266 as port1
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.080801] pse port1: Has been initialized
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.111305] ltc4266 0-002f: pse core: registered port 2 as port2 with priority 255
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.111331] ltc4266 0-002f: ltc4266_probe has registered port 2 on the LTC4266 as port2
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.111343] pse port2: Has been initialized
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.152877] ltc4266 0-002f: pse core: registered port 3 as port3 with priority 255
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.152902] ltc4266 0-002f: ltc4266_probe has registered port 3 on the LTC4266 as port3
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.152914] pse port3: Has been initialized
1970-01-01T01:00:11-06:00,INFO,kmod,Loading kernel module: ath_spectral
1970-01-01T01:00:11-06:00,INFO,kmod,Loading kernel module: umac
1970-01-01T01:00:11-06:00,INFO,kernel,[ 71.179971] ath_spectral: Version 2.0.0
1970-01-01T01:00:11-06:00,INFO,kernel,"[ 71.179971] Copyright (c) 2005-2009 Atheros Communications, Inc. All Rights Reserved"
1970-01-01T01:00:12-06:00,WARN,kernel,[ 72.275682] umac: Unknown symbol __wifi_kmem_free (err 0)
1970-01-01T01:00:12-06:00,WARN,kernel,[ 72.275731] umac: Unknown symbol __wifi_kmem_allocation (err 0)
1970-01-01T01:00:12-06:00,INFO,kmod,Loading kernel module: ath_hal
1970-01-01T01:00:13-06:00,INFO,kmod,Loading kernel module: ath_rate_atheros
1970-01-01T01:00:13-06:00,INFO,kernel,"[ 72.411653] ath_hal: 0.9.17.1 (AR5416, AR9380, WRITE_EEPROM, 11D)"
1970-01-01T01:00:13-06:00,INFO,gre,LAN change
1970-01-01T01:00:13-06:00,INFO,kmod,Loading kernel module: hst_tx99
1970-01-01T01:00:13-06:00,INFO,kernel,"[ 72.436733] ath_rate_atheros: Copyright (c) 2001-2005 Atheros Communications, Inc, All Rights Reserved"
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.454785] ath_tx99: Version 2.0
1970-01-01T01:00:13-06:00,WARN,kernel,"[ 72.454785] Copyright (c) 2010 Atheros Communications, Inc, All Rights Reserved"
1970-01-01T01:00:13-06:00,INFO,kmod,Loading kernel module: ath_dev
1970-01-01T01:00:13-06:00,INFO,kmod,Loading kernel module: qca_da
1970-01-01T01:00:13-06:00,INFO,kernel,"[ 72.532114] ath_dev: Copyright (c) 2001-2007 Atheros Communications, Inc, All Rights Reserved"
1970-01-01T01:00:13-06:00,INFO,kmod,Loading kernel module: qca_ol
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.567777] ath_da_pci: (Atheros/multi-bss)
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.722908] *********** IPQ4019 *************Wifi0 CPU frequency 250000000
1970-01-01T01:00:13-06:00,WARN,kernel,"[ 72.743390] hif_target_sync_ahb: Got FW signal, retries = 1hif_ahb_enable_bus: X - hif_type = 0xd, target_type = 0xbhif_config_ce: ce_init donehif_config_ce: X, ret = 0hif_set_hia: Ehif_pci_bus_configure: hif_set_hia donehif_configure_irq: Ehif_enable: X OKhif_napi_create: NAPI structures initializedhif_napi_create: NAPI id 6 created for pipe 5qca_napi_create: napi instance 32 created on pipe 4"
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.747517] hif_napi_event: received evnt: CONF cmd; v = 1 (state=0x1)hif_napi_event: setting configuration to ON
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.747517] __ol_ath_attach() Allocated scn da8c0500
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.747692] __ol_ath_attach: dev name wifi0
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.747710] ol_ath_attach interface_id 0
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.747957] ol_target_init() BMI inited.
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.748072] ol_target_init() BMI Get Target Info.
1970-01-01T01:00:13-06:00,WARN,kernel,"[ 72.748086] Chip id: 0xb, chip version: 0x1000000"
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.748094]
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.748094] CE WAR Disabled
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.748233] NUM_DEV=1 FWMODE=0x2 FWSUBMODE=0x0 FWBR_BUF 0
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.748428] ol_target_init() configure Target .
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.748523]
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.748523] Target Version is 1000000
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.748535]
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.748535] Flash Download Address c0000
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.748546] ol_transfer_bin_file: flash data file defined
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.748556] ol_transfer_bin_file[3769] Get Caldata for wifi0.
1970-01-01T01:00:13-06:00,WARN,kernel,"[ 72.748648] qdf_fs_read[59], Open File /tmp/wifi0.caldata SUCCESS!!file system magic:-2054924042super blocksize:4096inode 3201file size:12064qc98xx_verify_checksum: flash checksum passed: 0xd264"
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.748773] ol_transfer_bin_file 3830: Download Flash data len 12064
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.749166] Board extended Data download address: 0x0
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.768879]
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.768879] Board data initialized
1970-01-01T01:00:13-06:00,INFO,kernel,"[ 72.769055] ol_ath_download_firmware: Download OTP, flash download ADDRESS 0xc0000"
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.769069]
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.769069] Selecting OTP binary for CHIP Version -1082699536
1970-01-01T01:00:13-06:00,INFO,kernel,"[ 72.826812] ol_transfer_bin_file 3650: downloading file 0, Download data len 4676"
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.843271]
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.843271] First OTP send param 8000
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.847976] ol_ath_download_firmware :First OTP download and Execute is good address:0x5000 return param 4660
1970-01-01T01:00:13-06:00,WARN,kernel,"[ 72.847997] ol_ath_download_firmware:##Board Id 20 , CHIP Id 0"
1970-01-01T01:00:13-06:00,INFO,kernel,[ 72.848103] ol_ath_download_firmware: BOARDDATA DOWNLOAD TO address 0xc0000
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.848139]
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.848139] wifi0: Selecting board data file name boardData_1_0_IPQ4019_DK04_2G.bin
1970-01-01T01:00:13-06:00,WARN,kernel,[ 72.848159] ol_transfer_bin_file: Board Data File download to address=0xc0000 file name=IPQ4019/hw.1/boardData_1_0_IPQ4019_DK04_2G.bin
1970-01-01T01:00:13-06:00,INFO,kernel,"[ 72.848469] ol_transfer_bin_file 3650: downloading file 3, Download data len 12064"
